Site,Depth,Net,Fish,Stage,Count
1,Surface,1,Scaridae,Preflexion,0
1,Surface,2,Scaridae,Preflexion,1
1,Top,5,Scaridae,Preflexion,0
1,Bottom,2,Scaridae,Preflexion,0
1,Bottom,3,Scaridae,Preflexion,0
2,Surface,1,Scaridae,Preflexion,0
2,Surface,2,Scaridae,Preflexion,0
2,Top,5,Scaridae,Preflexion,0
2,Bottom,3,Scaridae,Preflexion,0
3,Surface,1,Scaridae,Preflexion,0
3,Surface,2,Scaridae,Preflexion,0
3,Top,5,Scaridae,Preflexion,0
3,Bottom,3,Scaridae,Preflexion,0
4,Surface,1,Scaridae,Preflexion,0
4,Surface,2,Scaridae,Preflexion,0
4,Top,5,Scaridae,Preflexion,0
4,Bottom,3,Scaridae,Preflexion,0
5,Surface,1,Scaridae,Preflexion,0
5,Surface,2,Scaridae,Preflexion,0
5,Surface,3,Scaridae,Preflexion,0
5,Top,4,Scaridae,Preflexion,0
5,Top,5,Scaridae,Preflexion,0
5,Bottom,2,Scaridae,Preflexion,1
5,Bottom,3,Scaridae,Preflexion,0
6,Surface,1,Scaridae,Preflexion,0
6,Surface,2,Scaridae,Preflexion,0
6,Surface,3,Scaridae,Preflexion,0
6,Top,5,Scaridae,Preflexion,0
6,Bottom,2,Scaridae,Preflexion,0
6,Bottom,3,Scaridae,Preflexion,0
6,Bottom,3,Scaridae,Preflexion,1
7,Surface,1,Scaridae,Preflexion,0
7,Surface,2,Scaridae,Preflexion,0
7,Surface,3,Scaridae,Preflexion,0
7,Top,5,Scaridae,Preflexion,0
7,Bottom,3,Scaridae,Preflexion,0
8,Surface,1,Scaridae,Preflexion,0
8,Surface,2,Scaridae,Preflexion,0
8,Surface,3,Scaridae,Preflexion,0
8,Top,4,Scaridae,Preflexion,0
8,Top,5,Scaridae,Preflexion,1
8,Bottom,2,Scaridae,Preflexion,0
8,Bottom,3,Scaridae,Preflexion,0
1,Surface,1,Scorpaenidae,Preflexion,0
1,Surface,2,Scorpaenidae,Preflexion,0
1,Top,5,Scorpaenidae,Preflexion,0
1,Bottom,2,Scorpaenidae,Preflexion,0
1,Bottom,3,Scorpaenidae,Preflexion,0
2,Surface,1,Scorpaenidae,Preflexion,0
2,Surface,2,Scorpaenidae,Preflexion,0
2,Top,5,Scorpaenidae,Preflexion,0
2,Bottom,3,Scorpaenidae,Preflexion,0
3,Surface,1,Scorpaenidae,Preflexion,0
3,Surface,2,Scorpaenidae,Preflexion,0
3,Top,5,Scorpaenidae,Preflexion,0
3,Bottom,3,Scorpaenidae,Preflexion,0
4,Surface,1,Scorpaenidae,Preflexion,0
4,Surface,2,Scorpaenidae,Preflexion,2
4,Top,5,Scorpaenidae,Preflexion,0
4,Bottom,3,Scorpaenidae,Preflexion,0
5,Surface,1,Scorpaenidae,Preflexion,0
5,Surface,2,Scorpaenidae,Preflexion,0
5,Surface,3,Scorpaenidae,Preflexion,0
5,Top,4,Scorpaenidae,Preflexion,0
5,Top,5,Scorpaenidae,Preflexion,0
5,Bottom,2,Scorpaenidae,Preflexion,0
5,Bottom,3,Scorpaenidae,Preflexion,0
6,Surface,1,Scorpaenidae,Preflexion,0
6,Surface,2,Scorpaenidae,Preflexion,0
6,Surface,3,Scorpaenidae,Preflexion,0
6,Top,5,Scorpaenidae,Preflexion,0
6,Bottom,2,Scorpaenidae,Preflexion,0
6,Bottom,3,Scorpaenidae,Preflexion,0
6,Bottom,3,Scorpaenidae,Preflexion,0
7,Surface,1,Scorpaenidae,Preflexion,0
7,Surface,2,Scorpaenidae,Preflexion,0
7,Surface,3,Scorpaenidae,Preflexion,0
7,Top,5,Scorpaenidae,Preflexion,0
7,Bottom,3,Scorpaenidae,Preflexion,0
8,Surface,1,Scorpaenidae,Preflexion,0
8,Surface,2,Scorpaenidae,Preflexion,0
8,Surface,3,Scorpaenidae,Preflexion,5
8,Top,4,Scorpaenidae,Preflexion,3
8,Top,5,Scorpaenidae,Preflexion,0
8,Bottom,2,Scorpaenidae,Preflexion,0
8,Bottom,3,Scorpaenidae,Preflexion,0
1,Surface,1,Synodontidae,Preflexion,2
1,Surface,2,Synodontidae,Preflexion,1
1,Top,5,Synodontidae,Preflexion,0
1,Bottom,2,Synodontidae,Preflexion,0
1,Bottom,3,Synodontidae,Preflexion,1
2,Surface,1,Synodontidae,Preflexion,0
2,Surface,2,Synodontidae,Preflexion,0
2,Top,5,Synodontidae,Preflexion,0
2,Bottom,3,Synodontidae,Preflexion,0
3,Surface,1,Synodontidae,Preflexion,1
3,Surface,2,Synodontidae,Preflexion,0
3,Top,5,Synodontidae,Preflexion,0
3,Bottom,3,Synodontidae,Preflexion,0
4,Surface,1,Synodontidae,Preflexion,0
4,Surface,2,Synodontidae,Preflexion,1
4,Top,5,Synodontidae,Preflexion,1
4,Bottom,3,Synodontidae,Preflexion,0
5,Surface,1,Synodontidae,Preflexion,0
5,Surface,2,Synodontidae,Preflexion,0
5,Surface,3,Synodontidae,Preflexion,0
5,Top,4,Synodontidae,Preflexion,2
5,Top,5,Synodontidae,Preflexion,1
